metin,eksiler,kategori,onem_skoru
"Bu gürültü kirliliği de canımıza tak etti artık! İnşaat sesleri, korna sesleri, yüksek sesle müzik çalanlar... Biraz saygı lütfen!",3,Çevre,3
"Şu sokak köpekleri de iyice arttı! Tamam, canları var ama sürü halinde gezip insanları korkutuyorlar.",3,Güvenlik,3
"Çocuk parklarındaki oyuncaklar tehlike saçıyor! Kırık salıncaklar, paslı kaydıraklar...",3,Çevre,3
Bu dilenci sorunu da kontrolden çıktı! Her köşe başında bir dilenci.,3,Güvenlik,3
"Özellikle yağmur yağdığında bazı sokaklar göle dönüyor! Mazgallar tıkalı galiba, sular gitmiyor.",3,Altyapı,3
Belediyenin internet sitesi de tam bir muamma! Aradığımız bilgiye ulaşmak saatler sürüyor.,2,Diğer,2
"Pazar yerleri savaş alanı gibi! Her yer çöp içinde, sebze meyve artıkları etrafa saçılmış. Biraz daha düzenli ve temiz olsa fena mı olur? Hem satıcılar hem de biz rahat ederiz. Bu konuda biraz daha özen gösterilebilir mi acaba?",3,Temizlik,3
"Sahil şeridi desen tam bir felaket! İzmaritler, pet şişeler, poşetler... Sanki çöp denizi! Bu güzelim sahilimizi bu hale getirmek ayıp değil mi? Düzenli olarak temizlense ve insanlar biraz daha bilinçli olsa ne güzel olurdu!",3,Temizlik,3
"Trafik ışıklarıyla kim oynuyor anlamıyorum! Yeşil yanıyor, daha geçmeden sarı oluyor, sonra kırmızı! İnsan şaşırıyor ne yapacağını. Bu trafik ışıklarının ayarlarıyla ilgilenen yok mu? Biraz daha mantıklı bir hale getirilemez mi bu iş?",3,Ulaşım,3
"Bu gürültü kirliliği de canımıza tak etti artık! İnşaat sesleri, korna sesleri, yüksek sesle müzik çalanlar... Biraz saygı lütfen! Herkesin dinlenmeye, huzurlu bir ortamda yaşamaya hakkı var. Bu konuda bir denetleme mekanizması yok mu?",3,Çevre,3
"Şu sokak köpekleri de iyice arttı! Tamam, canları var ama sürü halinde gezip insanları korkutuyorlar. Özellikle akşamları tedirgin oluyoruz. Bu konuda bir çözüm bulunamaz mı? Hem hayvanların güvenliği hem de bizim güvenliğimiz için bir şeyler yapılmalı.",3,Güvenlik,3
"Çocuk parklarındaki oyuncaklar tehlike saçıyor! Kırık salıncaklar, paslı kaydıraklar... Çocuğumuzu parka götürmeye korkuyoruz resmen. Bu oyuncakların düzenli olarak kontrol edilip tamir edilmesi gerekmiyor mu? Çocukların sağlığı bu kadar ucuz mu?",3,Çevre,3
"Bu dilenci sorunu da kontrolden çıktı! Her köşe başında bir dilenci. Tamam, yardıma muhtaç insanlar olabilir ama bu durum artık rahatsız edici bir boyuta ulaştı. Bu işin organizasyonu nasıl yapılıyor, denetleyen yok mu?",2,Güvenlik,2
"Özellikle yağmur yağdığında bazı sokaklar göle dönüyor! Mazgallar tıkalı galiba, sular gitmiyor. Ayakkabılarımızla paçalarımızla batıyoruz. Bu altyapı sorununa ne zaman bir çözüm bulunacak? Her yağmurda aynı çileyi çekmekten bıktık!",3,Altyapı,3
Belediyenin internet sitesi de tam bir muamma! Aradığımız bilgiye ulaşmak saatler sürüyor. Ne nerede belli değil. Biraz daha kullanıcı dostu bir hale getirilemez mi bu site? Çağ atladık hala bu ilkel sitelerle uğraşıyoruz!,3,Diğer,3
"Bu toplu taşıma araçlarındaki anons sistemi de tam bir işkence! Ne dediği anlaşılmıyor, sürekli cızırtı yapıyor. İneceğimiz durağı kaçıracağız diye ödümüz kopuyor. Bu anons sistemleri neden yenilenmiyor ya da daha anlaşılır hale getirilmiyor?",3,Ulaşım,3
"Özellikle yaz aylarında sivrisineklerden bıktık! Her yerimizi ısırıyorlar, kaşıntıdan duramıyoruz. Belediyenin bu konuda bir ilaçlama çalışması yok mu? Yoksa bütün yazı sineklerle mi geçireceğiz?",3,Sağlık,3
"Bazı esnaflar kaldırıma masa sandalye atıp yolu kapatıyor! Yayalar yürüyemiyor, bebek arabasıyla geçmek imkansız. Bu işgali denetleyen kimse yok mu? Kaldırımlar halkın kullanımına ait değil mi?",3,Güvenlik,3
"Bu otopark sorunu da şehir hayatının çilesi oldu! Her yer araba dolu, park edecek yer bulmak zulüm. Belediyenin yeni otopark projeleri var mı? Ya da toplu taşımayı teşvik edecek çalışmalar yapılıyor mu?",3,Ulaşım,3
"Çöp kutuları yetersiz galiba! Özellikle kalabalık yerlerde çöp kutuları taşıyor, etraf pisleniyor. Daha fazla çöp kutusu yerleştirilemez mi? Ya da mevcutlar daha sık boşaltılamaz mı? Temizlik de önemli sonuçta!",3,Temizlik,3
"Bu sokaklardaki dilenci çocukları görmek içimizi acıtıyor! Soğukta, sıcakta yalın ayak dileniyorlar. Bu çocukların korunması için belediye olarak bir çalışmanız yok mu? Onlara sıcak bir yuva ve eğitim imkanı sağlanamaz mı?",3,Sosyal Hizmet,3
Bazı parklarda güvenlik görevlisi hiç görmüyoruz! Özellikle akşam saatlerinde parklar tekin olmuyor. İnsanlar rahatça ailesiyle vakit geçiremiyor. Parklara daha fazla güvenlik görevlisi yerleştirilemez mi?,3,Güvenlik,3
"Bu bisiklet yolları da göstermelik gibi! Bir yerde başlıyor, bir yerde bitiyor, çoğu zaman da arabalar park etmiş oluyor. Bisiklet kullanımını teşvik etmek istiyorsanız, gerçekten işe yarar, kesintisiz bisiklet yolları yapmanız gerekmiyor mu?",3,Ulaşım,3
"Yağmur suyu giderleri de tam bir felaket! En ufak bir yağmurda logarlar taşıyor, her yeri su basıyor. Bu giderlerin temizliği ve bakımı düzenli olarak yapılmıyor mu? Yoksa her yağmurda Venedik mi olacağız?",3,Altyapı,3
"Belediyeye ulaşmak da ayrı bir dert! Telefonlara cevap veren yok, internet sitesi desen kafa karıştırıcı. Vatandaşın sorunlarını iletebileceği, kolay ulaşılabilir bir iletişim kanalı oluşturulamaz mı?",3,Diğer,3
Bu semt pazarlarındaki fiyatlar da marketlerle yarışıyor! Pazarın amacı daha uygun fiyatlı ürünler sunmak değil miydi? Bu fiyat denetimi nasıl yapılıyor? Vatandaşın cebini düşünen yok mu?,3,Sosyal Hizmet,3
"Özellikle okul çevrelerindeki trafik tam bir keşmekeş! Öğrenci iniş biniş saatlerinde trafik kilitleniyor, güvenlik riski oluşuyor. Bu bölgelerde trafik düzenlemesi için özel önlemler alınamaz mı?",3,Ulaşım,3
"Bazı binaların dış cepheleri tehlike saçıyor! Sıvalar dökülüyor, demirler paslanmış. Bu binaların denetlenmesi ve gerekli önlemlerin alınması gerekmiyor mu? Birinin başına bir şey gelmeden önlem alınmalı!",3,İmar / Yapı,3
"Bu sokak aydınlatmalarının bazıları gündüz yanıyor, gece sönük kalıyor! Bu enerji israfı değil mi? Bu sistemlerin kontrolü ve bakımı nasıl yapılıyor? Biraz daha tasarruflu olunamaz mı?",3,Güvenlik,3
Belediyenin düzenlediği etkinlikler de hep aynı kesime hitap ediyor gibi! Farklı ilgi alanlarına sahip vatandaşlar için de çeşitli etkinlikler düzenlenemez mi? Herkesin kendini ait hissedebileceği bir şeyler olmalı!,2,Sosyal Hizmet,2
"Bu bazı parklardaki tuvaletler de içler acısı! Pislikten geçilmiyor, sabun yok, kağıt havlu yok. Bu umumi tuvaletlerin temizliği neden bu kadar ihmal ediliyor? Biraz daha hijyenik olamaz mı?",3,Temizlik,3
Özellikle yaz aylarında piknik alanları çöplüğe dönüyor! İnsanlar yiyip içip çöplerini bırakıp gidiyor. Bu alanlara daha fazla çöp kutusu konulamaz ve düzenli temizlik yapılamaz mı? Doğamızı korumamız gerekmiyor mu?,3,Temizlik,3
"Bazı otobüs duraklarında ne bir oturma yeri var ne de yağmurdan korunacak bir çatı! İnsanlar ayakta beklemekten yoruluyor, yağmurda sırılsıklam oluyor. Daha kullanışlı duraklar yapılamaz mı?",3,Ulaşım,3
"Bu kaldırım işgalleri sadece esnaflarla sınırlı değil, bazı araç sahipleri de arabalarını kaldırımlara park ediyor! Yayalar yolda yürümek zorunda kalıyor. Bu konuda daha sıkı denetimler yapılamaz mı?",3,Güvenlik,3
"Belediyenin yaptığı bazı yol çalışmaları da aylarca sürüyor! Trafik altüst oluyor, esnaf iş yapamaz hale geliyor. Bu çalışmalar daha kısa sürede ve daha planlı bir şekilde yapılamaz mı?",3,İmar / Yapı,3
"Bazı mahallelerde internet altyapısı çok kötü! Evden çalışmak, online eğitim almak işkenceye dönüyor. Bu konuda bir iyileştirme çalışması var mı? Çağımızın gerekliliklerine ayak uydurmamız gerekmiyor mu?",3,Altyapı,3
"Bu sokaklardaki başıboş kediler de çoğaldı! Tamam, sevimli hayvanlar ama sayıları kontrolsüz bir şekilde artıyor. Bu konuda kısırlaştırma çalışmaları yapılıyor mu? Hem hayvanların sağlığı hem de çevre sağlığı için önemli!",3,Çevre,3
"Bazı tarihi binalarımız da kaderine terk edilmiş durumda! Yıkılmaya yüz tutmuş, bakımsız halleri içimizi burkuyor. Bu tarihi değerlerimizi korumak ve restore etmek için bir şeyler yapılamaz mı?",3,İmar / Yapı,3
"Belediyenin sosyal medya hesapları da çok pasif! Sadece yapılan işlerin duyurusu yapılıyor, vatandaşın sorularına cevap verilmiyor. Daha interaktif ve katılımcı bir iletişim kurulamaz mı?",3,Diğer,3
"Bu engelli vatandaşlarımız için yapılan düzenlemeler de yetersiz kalıyor! Rampalar çok dik, asansörler bozuk, özel park yerleri işgal edilmiş durumda. Daha duyarlı ve kapsayıcı bir şehir için daha fazla çaba gösterilemez mi?",3,Güvenlik,3
"Bazı parklardaki yeşil alanlar bakımsız kalmış, otlar boyunu aşmış durumda. Bu alanların düzenli olarak bakılması şehrin estetiği için önemli.",2,Çevre,2
Özellikle kalabalık caddelerdeki çöp kutuları yetersiz kalıyor ve etraf kirleniyor. Daha fazla çöp kutusu yerleştirilmesi ve mevcutların sıkça boşaltılması gerekiyor.,2,Temizlik,2
Bazı sokaklardaki aydınlatma lambaları arızalı ve karanlıkta yürümek tehlikeli oluyor. Bu lambaların bir an önce tamir edilmesi şart.,2,Güvenlik,2
Toplu taşıma araçlarının bazıları çok eski ve konforlu değil. Daha modern ve rahat araçlarla hizmet verilmesi yolcuların memnuniyetini artıracaktır.,2,Ulaşım,2
Kaldırımların bazı bölümleri engelli vatandaşların kullanımına uygun değil. Daha erişilebilir düzenlemeler yapılması gerekiyor.,2,Güvenlik,2
Semt pazarlarında oluşan trafik yoğunluğu hem esnafı hem de müşterileri olumsuz etkiliyor. Daha iyi bir trafik düzenlemesi şart.,2,Ulaşım,2
Bazı binaların çevreye yaydığı kötü kokular yaşam kalitesini düşürüyor. Bu konuda denetimlerin artırılması gerekiyor.,2,Çevre,2
Parklardaki bazı oturma bankları kırık veya kullanılamaz durumda. Yeni banklar yerleştirilmesi veya mevcutların tamir edilmesi gerekiyor.,2,Çevre,2
Özellikle yaz aylarında bazı bölgelerde su kesintileri yaşanıyor. Bu durum vatandaşları mağdur ediyor. Kalıcı bir çözüm bulunmalı.,2,Altyapı,2
Bazı sokaklarda kanalizasyon kokusu yayılıyor. Bu durum halk sağlığını tehdit ediyor. Altyapı sorunlarına çözüm bulunmalı.,2,Altyapı,2
Çocuk oyun alanlarındaki zeminler güvenli değil. Düşme sonucu yaralanmaları önlemek için daha uygun zeminler yapılmalı.,2,Çevre,2
Bazı mahallelerde sinek ve böcek ilaçlaması yetersiz kalıyor. Daha düzenli ve etkili bir ilaçlama programı uygulanmalı.,2,Sağlık,2
Sahil şeridindeki bazı bölgelerde çevre kirliliği gözlemleniyor. Daha sıkı denetimler ve temizlik çalışmaları yapılmalı.,2,Temizlik,2
Bazı otobüs duraklarında sefer saatleri ve güzergah bilgileri yetersiz. Daha bilgilendirici tabelalar konulmalı.,2,Ulaşım,2
Özellikle kış aylarında buzlanmaya karşı yeterli önlem alınmıyor. Yolların güvenli hale getirilmesi gerekiyor.,2,Güvenlik,2
Bazı parklarda evsiz vatandaşlar için uygun barınma imkanları yok. Daha insancıl çözümler üretilmeli.,2,Sosyal Hizmet,2
Bazı sokaklarda hafriyat yığınları uzun süre bekliyor ve çevre kirliliğine neden oluyor. Bu konuda daha hızlı bir temizlik çalışması yapılmalı.,2,Temizlik,2
Belediyenin bazı projeleri hakkında yeterli bilgilendirme yapılmıyor. Vatandaşların bilgilendirilmesi şeffaflık açısından önemli.,2,Diğer,2
Bazı bölgelerde geri dönüşüm kutuları yetersiz kalıyor. Daha fazla geri dönüşüm kutusu yerleştirilerek çevre bilinci desteklenmeli.,2,Çevre,2
Özellikle turistik bölgelerdeki bazı esnaflar turistleri mağdur ediyor. Fiyat denetimi ve bilgilendirme çalışmaları yapılmalı.,3,Sosyal Hizmet,3
Bazı sokaklarda araç trafiği çok hızlı ve yayalar için tehlike oluşturuyor. Hız kesici önlemler alınabilir.,3,Güvenlik,3
Bazı parklarda güvenlik kameraları yetersiz veya çalışmıyor. Güvenliğin artırılması için kamera sistemleri iyileştirilmeli.,2,Güvenlik,2
Bazı bölgelerde sokak hayvanları için yeterli beslenme ve barınma imkanları yok. Daha kapsamlı hayvansever projeler geliştirilmeli.,2,Çevre,2
Bazı tarihi eserlerin korunması için yeterli özen gösterilmiyor. Bu değerlerimizin gelecek nesillere aktarılması için çalışmalar yapılmalı.,2,İmar / Yapı,2
Belediyenin gönüllülük projelerine katılım düşük. Gönüllülüğü teşvik edecek çalışmalar yapılmalı.,2,Sosyal Hizmet,2
"Mahallemize daha fazla yeşil alan ve park istiyoruz. Çocuklarımızın oynayabileceği, yetişkinlerin nefes alabileceği yerlere ihtiyacımız var.",2,Çevre,2
Toplu taşıma seferlerinin daha sık ve düzenli olmasını talep ediyoruz. Özellikle işe gidiş ve dönüş saatlerinde yaşanan yoğunluk çekilmez hale geldi.,2,Ulaşım,2
Sokaklarımızın daha temiz olmasını istiyoruz. Çöp toplama saatlerinin düzenlenmesi ve daha fazla çöp kutusu yerleştirilmesi gerekiyor.,3,Temizlik,3
Kaldırımların yayalar için güvenli hale getirilmesini talep ediyoruz. Kırık taşlar tamir edilmeli ve engelli vatandaşlar için uygun hale getirilmeli.,2,Güvenlik,2
Sokak aydınlatmalarının yetersiz olduğu bölgelerde aydınlatma sayısının artırılmasını istiyoruz. Güvenliğimiz için bu çok önemli.,2,Güvenlik,2
Su kesintilerinin yaşanmaması için gerekli önlemlerin alınmasını talep ediyoruz. Plansız kesintiler hayatımızı olumsuz etkiliyor.,2,Altyapı,2
İnternet altyapısının yetersiz olduğu bölgelerde iyileştirme yapılmasını istiyoruz. Çağımızın gerekliliği olan internete erişim herkes için sağlanmalı.,2,Altyapı,2
Çocuk oyun parklarındaki oyuncakların güvenli ve bakımlı olmasını talep ediyoruz. Çocuklarımızın sağlığı her şeyden önemli.,2,Çevre,2
Semt pazarlarının daha düzenli ve temiz olmasını istiyoruz. Hem alışveriş yapanların hem de esnafın rahatı için bu gerekli.,2,Temizlik,2
Sahil şeridinin temiz tutulması ve korunması için daha fazla çaba gösterilmesini talep ediyoruz. Doğal güzelliklerimize sahip çıkmalıyız.,2,Temizlik,2
Gürültü kirliliğinin önlenmesi için denetimlerin artırılmasını istiyoruz. Özellikle gece saatlerinde yaşanan gürültü uyku düzenimizi bozuyor.,2,Çevre,2
Bisiklet yollarının yaygınlaştırılmasını ve güvenli hale getirilmesini talep ediyoruz. Çevre dostu ulaşım teşvik edilmeli.,2,Ulaşım,2
Otopark sorununun çözümü için yeni otopark alanları oluşturulmasını istiyoruz. Araçlarımızı güvenle park edebileceğimiz yerlere ihtiyacımız var.,2,Ulaşım,2
Yağmur suyu giderlerinin düzenli olarak temizlenmesini talep ediyoruz. Su baskınlarının önlenmesi için bu önemli.,3,Altyapı,3
Belediyeye kolayca ulaşabileceğimiz bir iletişim kanalı istiyoruz. Sorunlarımızı iletebileceğimiz ve çözüm bulabileceğimiz bir mekanizma olmalı.,2,Diğer,2
Sokak hayvanları için daha iyi yaşam koşulları sağlanmasını talep ediyoruz. Onların da güvende olmaya ve beslenmeye ihtiyaçları var.,3,Çevre,3
Tarihi binalarımızın restore edilerek korunmasını istiyoruz. Geçmişimize sahip çıkmak geleceğimize ışık tutacaktır.,2,İmar / Yapı,2
Geri dönüşüm bilincinin artırılması için çalışmalar yapılmasını ve geri dönüşüm kutularının sayısının artırılmasını talep ediyoruz.,2,Çevre,2
Engelli vatandaşlarımız için şehrin daha erişilebilir hale getirilmesini istiyoruz. Onların da rahatça hareket edebilmesi için düzenlemeler yapılmalı.,2,Güvenlik,2
Yeşil alanların sulanması ve bakımı için daha özenli davranılmasını talep ediyoruz. Kuruyan ağaçlar ve bakımsız parklar içimizi burkuyor.,3,Çevre,3
Toplu taşıma araçlarında klima sistemlerinin düzenli çalışmasını talep ediyoruz. Özellikle yaz aylarında bu çok önemli.,2,Ulaşım,2
Pazar yerlerinde fiyat denetimi yapılmasını istiyoruz. Vatandaşın uygun fiyatlı ürünlere ulaşabilmesi sağlanmalı.,2,Sosyal Hizmet,2
Okul çevrelerinde trafik güvenliğinin artırılmasını talep ediyoruz. Çocuklarımızın güvenliği her şeyden önce gelir.,2,Ulaşım,2
Belediyenin düzenlediği etkinliklerin daha çeşitli ve katılımcı olmasını istiyoruz. Herkesin ilgi alanına hitap eden etkinlikler düzenlenmeli.,2,Sosyal Hizmet,2
Sokaklardaki dilenci sorununun çözümü için sosyal hizmet projeleri geliştirilmesini talep ediyoruz. İhtiyaç sahibi vatandaşlara destek olunmalı.,2,Sosyal Hizmet,2
Parklardaki tuvaletlerin temiz ve bakımlı olmasını talep ediyoruz. Hijyen hepimiz için önemli.,2,Temizlik,2
İnşaat gürültüsünün belirli saatlerle sınırlandırılmasını istiyoruz. Özellikle hafta sonları dinlenmeye ihtiyacımız var.,2,Çevre,2
Sahil şeridindeki işletmelerin çevreye duyarlı olmasını talep ediyoruz. Atıkların düzenli olarak toplanması ve kirliliğin önlenmesi gerekiyor.,2,Temizlik,2
Belediyenin yaptığı çalışmalar hakkında düzenli olarak bilgilendirilmek istiyoruz. Şeffaflık ilkesi gereği yapılanlar hakkında bilgi sahibi olmak hakkımız.,2,Diğer,2
Mahallemize daha fazla sosyal tesis ve aktivite alanı istiyoruz. Komşularımızla bir araya gelebileceğimiz ve sosyalleşebileceğimiz mekanlara ihtiyacımız var.,2,Sosyal Hizmet,2
"Şu bizim sokaktaki köpekler iyice azıttı ha! Gece gündüz havlıyorlar, uyku muyku kalmadı. Belediyenin bu işe bir el atması gerek artık.",3,Güvenlik,3
Ya bu yollar ne zaman düzelecek Allah aşkına? Sanki patates tarlası! Arabanın altı değmedik yer kalmadı. Birazcık da bizim buralara yatırım yapsalar fena olmaz.,3,Altyapı,3
"Bu çöpler de ne böyle ya? Günlerdir toplanmıyor, sinekten böcekten geçilmiyor. Birazcık daha özen gösterseler keşke bu temizlik işine.",3,Temizlik,3
"Şu parkta bir oturayım dedim, bankların hali içler acısı. Kırık dökük, paslanmış. İki demir parçası koymak da mı zor be kardeşim?",2,Çevre,2
"Hava kararınca sokaklar zifiri karanlık oluyor. Hırsız mı ararsın, serseri mi? Birkaç lamba dikseler ne kaybederler sanki?",2,Güvenlik,2
Su faturası desen cep yakıyor ama musluktan akan suyun tadı tuzu yok. Bu parayı neye veriyoruz anlamadım ki.,2,Altyapı,2
İnternet desen çekmiyor çoğu yerde. Taş devrinde mi yaşıyoruz biz? Birazcık da şu altyapıya yatırım yapsalar.,2,Altyapı,2
"Çocukları parka gönderiyoruz, içimiz rahat değil. Oyuncakların çoğu kırık, paslı. Bir gün birinin canı yanacak diye ödümüz kopuyor.",2,Çevre,2
"Şu pazar yerindeki curcuna da çekilmez oldu. Her yer çamur deryası, bağırış çağırış. Biraz düzenleme getirseler ne güzel olur.",2,Temizlik,2
"Deniz kenarına gidiyoruz, her yer çöp. Bu güzelliğe yazık değil mi? Birazcık sahip çıksak şu memlekete.",2,Temizlik,2
Bu motor gürültüsü de ne böyle? Gece gündüz vızır vızır geçiyorlar. Birazcık saygı ya hu!,2,Güvenlik,2
"Bisiklet yolu yapmışlar güya, iki adımda bitiyor. Sanki dalga geçiyorlar bizimle. Adam gibi bir bisiklet yolu yapsalar da biz de kullansak.",2,Ulaşım,2
Araba park edecek yer bulmak da ayrı dert. Her yer araba dolu. Birazcık otopark yapsalar da rahatlasak.,2,Ulaşım,2
Yağmur yağınca her yer göl oluyor. Ayaklarımız suya değmeden yürüyemiyoruz. Şu mazgalları bir temizleseler keşke.,3,Altyapı,3
"Belediyeye bir derdimizi anlatmaya çalışıyoruz, muhatap bulamıyoruz. Bir dinleyenimiz olsa bari.",2,Diğer,2
Şu sokak hayvanlarına da birazcık sahip çıksalar. Aç susuz perişan geziyorlar.,2,Çevre,2
Tarihi binalarımız göz göre göre çürüyor. Birazcık da bunlara sahip çıksalar.,2,İmar / Yapı,2
Geri dönüşüm kutusu desen bizim buralarda yok. Çöpleri nereye atacağımızı şaşırıyoruz.,2,Çevre,2
Engelli kardeşlerimiz için de birazcık düşünsünler. Onların da rahatça hareket edebileceği düzenlemeler yapsalar.,2,Güvenlik,2
Şu yeşillikler de kurumaya başladı. Birazcık sulasalar ne olur sanki?,2,Çevre,2
Otobüsler de tıklım tıklım geliyor. İnsan üst üste yolculuk yapmaktan bıktı. Birazcık daha sefer koysalar.,2,Ulaşım,2
Pazarda fiyatlar desen marketten pahalı. Neyin pazarı bu anlamadım ki.,2,Sosyal Hizmet,2
Okulun önünde trafik felç oluyor. Birazcık trafik polisi görevlendirseler.,2,Ulaşım,2
Belediyenin etkinlikleri de hep aynı kesime hitap ediyor. Birazcık da bize göre bir şeyler yapsalar.,2,Sosyal Hizmet,2
Dilenciler de her köşe başını tutmuş. İnsan rahat rahat yürüyemiyor.,2,Sosyal Hizmet,2
Parklardaki tuvaletler de leş gibi. İnsan girmeye çekiniyor.,2,Temizlik,2
İnşaat sesinden başımız şişti. Birazcık insaflı olsalar.,2,Çevre,2
Deniz kenarındaki o pis kokudan durulmuyor. Birazcık temizleseler oraları.,2,Temizlik,2
"Belediyenin yaptığı işleri de göremiyoruz ki. Ne yapıyorlar, ne ediyorlar haberimiz yok.",2,Diğer,2
Bizim buralara da birazcık yatırım yapsalar fena olmaz hani.,2,Diğer,2
Mahallemizde yaşayan çocuklar ve gençler için daha fazla spor alanı ve aktivite merkezi talep ediyoruz.,2,Sosyal Hizmet,2
"Toplu taşıma güzergahlarının ve sefer sıklıklarının yeniden düzenlenerek, vatandaşların ihtiyaçlarına daha uygun hale getirilmesini talep ediyoruz.",2,Ulaşım,2
Şehrin çeşitli noktalarına modern ve hijyenik umumi tuvaletlerin yerleştirilmesini talep ediyoruz.,2,Temizlik,2
Kaldırım işgallerinin önlenmesi ve yayaların güvenli bir şekilde hareket edebilmesi için denetimlerin artırılmasını talep ediyoruz.,2,Güvenlik,2
Özellikle ana arterlerdeki trafik akışının düzenlenmesi ve alternatif güzergahlar oluşturulmasını talep ediyoruz.,2,Ulaşım,2
"Atık yönetimi sisteminin iyileştirilerek, geri dönüşüm oranlarının artırılması ve çevre kirliliğinin önlenmesini talep ediyoruz.",3,Çevre,3
Şehrin tarihi ve kültürel mirasının korunması ve restore edilmesi için daha fazla kaynak ayrılmasını talep ediyoruz.,2,İmar / Yapı,2
Sokak aydınlatma sistemlerinin enerji verimli hale getirilmesi ve yetersiz olan bölgelerde aydınlatma sayısının artırılmasını talep ediyoruz.,2,Güvenlik,2
Park ve yeşil alanların bakımı için düzenli bir program oluşturulmasını ve bu alanların halkın kullanımına uygun hale getirilmesini talep ediyoruz.,2,Çevre,2
"Su şebeke altyapısının yenilenerek, su kayıplarının önlenmesi ve kesintisiz su temininin sağlanmasını talep ediyoruz.",3,Altyapı,3
Hava kalitesinin iyileştirilmesi için sanayi tesisleri ve araç emisyonlarının denetlenmesini talep ediyoruz.,2,Sağlık,2
Şehirdeki gürültü seviyesinin kontrol altına alınması ve özellikle yerleşim yerlerinde ses yalıtımına yönelik düzenlemeler yapılmasını talep ediyoruz.,2,Çevre,2
Engelli vatandaşların şehirdeki tüm hizmetlere ve mekanlara erişiminin kolaylaştırılması için gerekli düzenlemelerin yapılmasını talep ediyoruz.,2,Güvenlik,2
Sokak hayvanlarının rehabilitasyonu ve sahiplendirilmesi için daha kapsamlı projeler geliştirilmesini talep ediyoruz.,2,Çevre,2
"Afetlere hazırlık kapsamında, acil durum toplanma alanlarının belirlenmesi ve halkın bilinçlendirilmesi çalışmalarının yapılmasını talep ediyoruz.",2,Güvenlik,2
Şehirdeki güvenlik önlemlerinin artırılması ve özellikle suç oranının yüksek olduğu bölgelerde caydırıcı tedbirler alınmasını talep ediyoruz.,2,Güvenlik,2
Yerel esnafın desteklenmesi ve ekonomik kalkınmanın sağlanması için projeler geliştirilmesini talep ediyoruz.,2,Sosyal Hizmet,2
Şehirdeki bisiklet yollarının uzunluğunun artırılması ve güvenliğinin sağlanmasını talep ediyoruz.,2,Ulaşım,2
Toplu taşıma araçlarında engelli ve yaşlı vatandaşlar için daha uygun düzenlemeler yapılmasını talep ediyoruz.,2,Ulaşım,2
Şehrin estetiğini bozan görüntü kirliliğinin önlenmesi için çalışmalar yapılmasını talep ediyoruz.,2,Çevre,2
"Halk sağlığını tehdit eden sinek, böcek gibi zararlılarla mücadele için daha etkili yöntemler uygulanmasını talep ediyoruz.",2,Sağlık,2
Şehirdeki otopark sorununa çözüm bulunması için katlı otoparklar veya alternatif park alanları oluşturulmasını talep ediyoruz.,2,Ulaşım,2
Dere yataklarının temizlenmesi ve ıslah edilmesiyle sel ve taşkın riskinin azaltılmasını talep ediyoruz.,2,Altyapı,2
Belediyenin hizmetleri hakkında düzenli ve anlaşılır bilgilendirme yapılmasını talep ediyoruz.,2,Diğer,2
"Şehirdeki boş ve atıl durumdaki binaların değerlendirilerek, sosyal veya kültürel amaçlarla kullanılmasını talep ediyoruz.",2,İmar / Yapı,2
Gençlerin istihdamına yönelik projeler geliştirilmesi ve mesleki eğitim imkanlarının artırılmasını talep ediyoruz.,2,Sosyal Hizmet,2
Yaşlı vatandaşların sosyal hayata katılımını destekleyecek etkinlikler ve hizmetler sunulmasını talep ediyoruz.,1,Sosyal Hizmet,1
Şehirdeki gönüllülük faaliyetlerinin teşvik edilmesi ve desteklenmesi için çalışmalar yapılmasını talep ediyoruz.,2,Sosyal Hizmet,2
Tüketici haklarının korunması ve vatandaşların bilinçlendirilmesi için çalışmalar yapılmasını talep ediyoruz.,2,Diğer,2
Şehirdeki internet altyapısının güçlendirilmesi ve ücretsiz internet erişim noktalarının sayısının artırılmasını talep ediyoruz.,2,Altyapı,2
Kültür ve sanat etkinliklerinin sayısının artırılması ve daha geniş kitlelere ulaşmasının sağlanmasını talep ediyoruz.,2,Sosyal Hizmet,2
Şehirdeki trafik işaret ve levhalarının standartlara uygun ve okunaklı hale getirilmesini talep ediyoruz.,3,Ulaşım,3
Pazar yerlerindeki hijyen koşullarının iyileştirilmesi ve denetimlerin artırılmasını talep ediyoruz.,2,Temizlik,2
Şehirdeki turizm potansiyelinin değerlendirilmesi ve turizm gelirlerinin artırılması için çalışmalar yapılmasını talep ediyoruz.,2,Sosyal Hizmet,2
Afet durumlarında kullanılacak ekipman ve malzeme depolarının oluşturulması ve güncel tutulmasını talep ediyoruz.,2,Güvenlik,2
Şehirdeki spor tesislerinin sayısının artırılması ve mevcutların modernize edilmesini talep ediyoruz.,2,Sosyal Hizmet,2
Çocukların ve gençlerin kitap okuma alışkanlığı kazanması için kütüphane sayısının artırılması ve etkinlikler düzenlenmesini talep ediyoruz.,2,Sosyal Hizmet,2
Şehirdeki sanayi kuruluşlarının çevreye verdiği zararın en aza indirilmesi için denetimlerin sıklaştırılmasını talep ediyoruz.,2,Çevre,2
Yerel yönetimlerin şeffaflık ilkesine uygun hareket etmesi ve vatandaşların bilgiye erişiminin kolaylaştırılmasını talep ediyoruz.,2,Diğer,2
